operator,charging_facility_type,number_of_charging_points,power_connection_capacity,city,postal_code,commissioning_date,year,month,state
BIGGE ENERGIE GmbH & Co. KG,Normalladeeinrichtung,2,44.0,Wenden,57482,2018-09-28,2018,9,Nordrhein-Westfalen
BIGGE ENERGIE GmbH & Co. KG,Normalladeeinrichtung,2,44.0,Wenden,57482,2021-08-01,2021,8,Nordrhein-Westfalen
Westfalen Weser Ladeservice GmbH,Normalladeeinrichtung,2,44.0,Paderborn,33098,2019-10-04,2019,10,Nordrhein-Westfalen
Westfalen Weser Ladeservice GmbH,Normalladeeinrichtung,1,22.0,Paderborn,33098,2022-06-27,2022,6,Nordrhein-Westfalen
Westfalen Weser Ladeservice GmbH,Normalladeeinrichtung,1,22.0,Paderborn,33098,2022-06-27,2022,6,Nordrhein-Westfalen
EnBW mobility+ AG und Co.KG,Schnellladeeinrichtung,2,310.0,Paderborn,33098,2021-07-01,2021,7,Nordrhein-Westfalen
Sparkasse Paderborn-Detmold,Normalladeeinrichtung,1,22.0,Paderborn,33098,2020-05-12,2020,5,Nordrhein-Westfalen
Priesterseminar Paderborn Leostraße 19,Normalladeeinrichtung,2,44.0,Paderborn,33098,2021-02-05,2021,2,Nordrhein-Westfalen
Klingenthal Südring GmbH,Normalladeeinrichtung,4,22.0,Paderborn,33100,2022-05-01,2022,5,Nordrhein-Westfalen
Ottenshof,Normalladeeinrichtung,2,22.0,Paderborn,33100,2021-11-18,2021,11,Nordrhein-Westfalen
Glockenbach Gebäudedienste GmbH,Normalladeeinrichtung,2,22.0,Paderborn,33100,2021-10-27,2021,10,Nordrhein-Westfalen
Westfalen Weser Ladeservice GmbH,Normalladeeinrichtung,2,44.0,Paderborn,33100,2021-12-14,2021,12,Nordrhein-Westfalen
Westfalen Weser Ladeservice GmbH,Normalladeeinrichtung,1,22.0,Paderborn,33100,2021-06-30,2021,6,Nordrhein-Westfalen
Westfalen Weser Ladeservice GmbH,Normalladeeinrichtung,1,22.0,Paderborn,33100,2022-06-27,2022,6,Nordrhein-Westfalen
Westfalen Weser Ladeservice GmbH,Schnellladeeinrichtung,2,72.0,Paderborn,33100,2022-07-26,2022,7,Nordrhein-Westfalen
Westfalen Weser Ladeservice GmbH,Normalladeeinrichtung,2,44.0,Paderborn,33100,2022-10-27,2022,10,Nordrhein-Westfalen
Westfalen Weser Ladeservice GmbH,Normalladeeinrichtung,2,44.0,Paderborn,33100,2022-06-22,2022,6,Nordrhein-Westfalen
Westfalen Weser Ladeservice GmbH,Normalladeeinrichtung,2,44.0,Paderborn,33100,2023-01-10,2023,1,Nordrhein-Westfalen
Westfalen Weser Ladeservice GmbH,Normalladeeinrichtung,2,44.0,Paderborn,33102,2022-09-19,2022,9,Nordrhein-Westfalen
Q1 Autostrom,Schnellladeeinrichtung,3,150.0,Paderborn,33102,2022-05-06,2022,5,Nordrhein-Westfalen
ASP-Eigenbetrieb der Stadt Paderborn,Normalladeeinrichtung,2,11.0,Paderborn,33102,2018-11-01,2018,11,Nordrhein-Westfalen
Fraunhofer-Gesellschaft zur Förderung der angewandten Forschung e. V.,Normalladeeinrichtung,1,22.0,Paderborn,33102,2021-04-01,2021,4,Nordrhein-Westfalen
Westfalen Weser Ladeservice GmbH,Normalladeeinrichtung,2,44.0,Paderborn,33104,2018-12-21,2018,12,Nordrhein-Westfalen
E.ON Drive GmbH,Normalladeeinrichtung,2,44.0,Paderborn,33104,2019-11-20,2019,11,Nordrhein-Westfalen
Pfalzwerke AG,Schnellladeeinrichtung,2,225.0,Paderborn,33104,2021-11-18,2021,11,Nordrhein-Westfalen
Pfalzwerke AG,Normalladeeinrichtung,2,22.0,Paderborn,33104,2021-11-18,2021,11,Nordrhein-Westfalen
E-Tankstelle Baumhögger,Normalladeeinrichtung,4,22.0,Paderborn,33106,2022-11-14,2022,11,Nordrhein-Westfalen
Westfalen Weser Ladeservice GmbH,Normalladeeinrichtung,2,44.0,Paderborn,33106,2022-10-19,2022,10,Nordrhein-Westfalen
Westfalen Weser Ladeservice GmbH,Normalladeeinrichtung,2,44.0,Paderborn,33106,2022-06-22,2022,6,Nordrhein-Westfalen
Fastned Deutschland GmbH & Co. KG,Schnellladeeinrichtung,2,300.0,Paderborn,33106,2022-06-22,2022,6,Nordrhein-Westfalen
Richter Energie,Normalladeeinrichtung,1,22.0,Paderborn,33106,2022-02-08,2022,2,Nordrhein-Westfalen
Ernst Herrmann,Normalladeeinrichtung,1,22.0,Delbrück,33129,2022-01-01,2022,1,Nordrhein-Westfalen
EnBW mobility+ AG und Co.KG,Schnellladeeinrichtung,2,150.0,Delbrück,33129,2019-12-20,2019,12,Nordrhein-Westfalen
Westfalen Weser Ladeservice GmbH,Normalladeeinrichtung,2,44.0,Büren,33142,2022-09-08,2022,9,Nordrhein-Westfalen
Westfalen Weser Ladeservice GmbH,Normalladeeinrichtung,2,44.0,Büren,33142,2022-10-20,2022,10,Nordrhein-Westfalen
Westenergie Metering GmbH,Normalladeeinrichtung,2,44.0,Büren,33142,2019-05-21,2019,5,Nordrhein-Westfalen
Westenergie Metering GmbH,Normalladeeinrichtung,2,44.0,Büren,33142,2019-06-18,2019,6,Nordrhein-Westfalen
Westfalen Weser Ladeservice GmbH,Normalladeeinrichtung,2,44.0,Salzkotten,33154,2018-03-22,2018,3,Nordrhein-Westfalen
Westfalen Weser Ladeservice GmbH,Normalladeeinrichtung,2,44.0,Salzkotten,33154,2019-06-12,2019,6,Nordrhein-Westfalen
Westfalen Weser Ladeservice GmbH,Normalladeeinrichtung,2,44.0,Salzkotten,33154,2018-12-06,2018,12,Nordrhein-Westfalen
Fleischerei Timmer,Normalladeeinrichtung,2,22.0,Salzkotten,33154,2021-06-30,2021,6,Nordrhein-Westfalen
Richter Energie,Normalladeeinrichtung,3,66.0,Salzkotten,33154,2022-02-08,2022,2,Nordrhein-Westfalen
Richter Energie,Normalladeeinrichtung,2,44.0,Salzkotten,33154,2022-07-07,2022,7,Nordrhein-Westfalen
Westfalen Weser Ladeservice GmbH,Normalladeeinrichtung,2,44.0,Hövelhof,33161,2018-10-04,2018,10,Nordrhein-Westfalen
Westfalen Weser Ladeservice GmbH,Normalladeeinrichtung,2,44.0,Hövelhof,33161,2021-01-05,2021,1,Nordrhein-Westfalen
Westfalen Weser Ladeservice GmbH,Normalladeeinrichtung,2,44.0,Hövelhof,33161,2021-01-05,2021,1,Nordrhein-Westfalen
Westfalen Weser Ladeservice GmbH,Normalladeeinrichtung,2,44.0,Lichtenau,33165,2019-02-27,2019,2,Nordrhein-Westfalen
Westfalen Weser Ladeservice GmbH,Normalladeeinrichtung,2,44.0,Lichtenau,33165,2019-05-27,2019,5,Nordrhein-Westfalen
Stadtwerke Lichtenau GmbH,Normalladeeinrichtung,2,44.0,Lichtenau,33165,2021-07-01,2021,7,Nordrhein-Westfalen
Westfalen Weser Ladeservice GmbH,Normalladeeinrichtung,2,44.0,Bad Lippspringe,33175,2022-11-21,2022,11,Nordrhein-Westfalen
Westfalen Weser Ladeservice GmbH,Normalladeeinrichtung,2,44.0,Bad Lippspringe,33175,2021-03-01,2021,3,Nordrhein-Westfalen
Hubertus Schmidt GmbH,Normalladeeinrichtung,1,11.0,Borchen,33178,2022-02-01,2022,2,Nordrhein-Westfalen
Westfalen Weser Ladeservice GmbH,Normalladeeinrichtung,2,44.0,Borchen,33178,2018-10-23,2018,10,Nordrhein-Westfalen
Westfalen Weser Ladeservice GmbH,Normalladeeinrichtung,2,44.0,Altenbeken,33184,2022-03-28,2022,3,Nordrhein-Westfalen
Gemeinde Altenbeken,Normalladeeinrichtung,4,44.0,Altenbeken,33184,2022-09-20,2022,9,Nordrhein-Westfalen
CompleoConnect,Normalladeeinrichtung,2,44.0,Paderborn,33189,2021-02-01,2021,2,Nordrhein-Westfalen
EWE Go GmbH,Schnellladeeinrichtung,2,150.0,Castrop-Rauxel,44575,2022-10-06,2022,10,Nordrhein-Westfalen
Tiemeyer automobile GmbH & Co. KG,Normalladeeinrichtung,2,39.65,Castrop-Rauxel,44575,2022-06-27,2022,6,Nordrhein-Westfalen
Procar Automobile GmbH,Normalladeeinrichtung,2,44.0,Castrop-Rauxel,44579,2019-01-21,2019,1,Nordrhein-Westfalen
Erenja AG & Co. KG,Normalladeeinrichtung,2,44.0,Recklinghausen,45657,2019-01-22,2019,1,Nordrhein-Westfalen
Sparkasse Vest Recklinghausen,Normalladeeinrichtung,1,22.0,Recklinghausen,45657,2021-03-16,2021,3,Nordrhein-Westfalen
EnBW mobility+ AG und Co.KG,Schnellladeeinrichtung,2,300.0,Recklinghausen,45659,2021-12-17,2021,12,Nordrhein-Westfalen
Vogelsang Automobile GmbH & Co. KG,Normalladeeinrichtung,2,22.0,Recklinghausen,45659,2018-04-20,2018,4,Nordrhein-Westfalen
E.ON Drive GmbH,Schnellladeeinrichtung,2,75.0,Recklinghausen,45663,2022-06-30,2022,6,Nordrhein-Westfalen
Hertener Stadtwerke GmbH,Normalladeeinrichtung,2,44.0,Herten,45699,2018-01-24,2018,1,Nordrhein-Westfalen
Hertener Stadtwerke GmbH,Normalladeeinrichtung,2,44.0,Herten,45699,2020-04-01,2020,4,Nordrhein-Westfalen
Hertener Stadtwerke GmbH,Schnellladeeinrichtung,3,72.0,Herten,45699,2021-03-19,2021,3,Nordrhein-Westfalen
Hertener Stadtwerke GmbH,Normalladeeinrichtung,2,44.0,Herten,45699,2022-05-02,2022,5,Nordrhein-Westfalen
Westfalen AG,Schnellladeeinrichtung,1,75.0,Herten,45699,2022-07-15,2022,7,Nordrhein-Westfalen
Lidl,Normalladeeinrichtung,2,44.0,Herten,45701,2019-12-17,2019,12,Nordrhein-Westfalen
Hertener Stadtwerke GmbH,Normalladeeinrichtung,2,44.0,Herten,45701,2022-03-14,2022,3,Nordrhein-Westfalen
RuhrCharge - Elektro Wilmes,Normalladeeinrichtung,1,22.0,Datteln,45711,2022-11-16,2022,11,Nordrhein-Westfalen
RuhrCharge - Elektro Wilmes,Normalladeeinrichtung,1,22.0,Datteln,45711,2022-11-16,2022,11,Nordrhein-Westfalen
Westenergie Metering GmbH,Normalladeeinrichtung,2,44.0,Datteln,45711,2019-05-09,2019,5,Nordrhein-Westfalen
Westenergie Metering GmbH,Normalladeeinrichtung,2,44.0,Datteln,45711,2019-12-02,2019,12,Nordrhein-Westfalen
Engelmeier GmbH& Co. KG,Normalladeeinrichtung,2,44.0,Haltern am See,45721,2019-11-25,2019,11,Nordrhein-Westfalen
Stadtwerke Haltern am See GmbH,Normalladeeinrichtung,2,44.0,Haltern am See,45721,2019-07-23,2019,7,Nordrhein-Westfalen
Stadtwerke Haltern am See GmbH,Normalladeeinrichtung,2,44.0,Haltern am See,45721,2019-07-17,2019,7,Nordrhein-Westfalen
Stadtwerke Haltern am See GmbH,Normalladeeinrichtung,2,44.0,Haltern am See,45721,2019-08-12,2019,8,Nordrhein-Westfalen
Stadtwerke Haltern am See GmbH,Normalladeeinrichtung,2,44.0,Haltern am See,45721,2019-08-12,2019,8,Nordrhein-Westfalen
EWE Go GmbH,Schnellladeeinrichtung,2,160.0,Haltern am See,45721,2023-02-01,2023,2,Nordrhein-Westfalen
Th. Bollrath Nachf. Horst Bollrath e.K.,Normalladeeinrichtung,2,39.6,Waltrop,45731,2021-06-10,2021,6,Nordrhein-Westfalen
Westenergie Metering GmbH,Normalladeeinrichtung,2,44.0,Waltrop,45731,2022-12-06,2022,12,Nordrhein-Westfalen
RuhrCharge - Elektro Wilmes,Normalladeeinrichtung,1,22.0,Oer-Erkenschwick,45739,2021-06-17,2021,6,Nordrhein-Westfalen
RuhrCharge - Elektro Wilmes,Normalladeeinrichtung,1,22.0,Oer-Erkenschwick,45739,2022-12-27,2022,12,Nordrhein-Westfalen
Westenergie Metering GmbH,Normalladeeinrichtung,2,44.0,Oer-Erkenschwick,45739,2022-10-24,2022,10,Nordrhein-Westfalen
Westenergie Metering GmbH,Normalladeeinrichtung,2,44.0,Oer-Erkenschwick,45739,2022-11-03,2022,11,Nordrhein-Westfalen
E.ON Drive GmbH,Normalladeeinrichtung,2,22.0,Marl,45768,2022-10-06,2022,10,Nordrhein-Westfalen
E.ON Drive GmbH,Normalladeeinrichtung,2,22.0,Marl,45768,2022-10-06,2022,10,Nordrhein-Westfalen
Hertener Stadtwerke GmbH,Normalladeeinrichtung,1,22.0,Marl,45770,2021-08-01,2021,8,Nordrhein-Westfalen
Privatperson,Normalladeeinrichtung,1,22.0,Marl,45772,2018-08-28,2018,8,Nordrhein-Westfalen
Emscher Lippe Energie GmbH,Normalladeeinrichtung,2,44.0,Gladbeck,45964,2018-10-23,2018,10,Nordrhein-Westfalen
Emscher Lippe Energie GmbH,Normalladeeinrichtung,2,44.0,Gladbeck,45964,2019-02-08,2019,2,Nordrhein-Westfalen
Emscher Lippe Energie GmbH,Normalladeeinrichtung,2,44.0,Gladbeck,45964,2019-04-16,2019,4,Nordrhein-Westfalen
Autohaus Wilhelm Schmitz GmbH & Co. KG,Normalladeeinrichtung,2,39.6,Gladbeck,45964,2021-12-29,2021,12,Nordrhein-Westfalen
Emscher Lippe Energie GmbH,Normalladeeinrichtung,2,44.0,Gladbeck,45966,2019-02-28,2019,2,Nordrhein-Westfalen
Emscher Lippe Energie GmbH,Normalladeeinrichtung,2,44.0,Gladbeck,45968,2019-02-21,2019,2,Nordrhein-Westfalen
EnBW mobility+ AG und Co.KG,Schnellladeeinrichtung,2,98.0,Dorsten,46282,2019-08-01,2019,8,Nordrhein-Westfalen
EnBW mobility+ AG und Co.KG,Schnellladeeinrichtung,2,93.0,Dorsten,46282,2019-08-01,2019,8,Nordrhein-Westfalen
Westfalen AG,Schnellladeeinrichtung,1,75.0,Dorsten,46282,2021-10-08,2021,10,Nordrhein-Westfalen
Westenergie Metering GmbH,Normalladeeinrichtung,2,44.0,Dorsten,46282,2019-12-02,2019,12,Nordrhein-Westfalen
Westenergie Metering GmbH,Normalladeeinrichtung,2,44.0,Dorsten,46282,2019-12-02,2019,12,Nordrhein-Westfalen
Westenergie Metering GmbH,Normalladeeinrichtung,2,44.0,Dorsten,46282,2019-12-02,2019,12,Nordrhein-Westfalen
KTH & Partner Krehbiehl Helfenbein Rechtsanwälte Partnerschaft,Normalladeeinrichtung,2,22.0,Dorsten,46284,2022-12-08,2022,12,Nordrhein-Westfalen
T5 GmbH & Co.KG,Normalladeeinrichtung,2,44.0,Dorsten,46284,2023-01-20,2023,1,Nordrhein-Westfalen
EDEKA Honsel - Ralf Honsel KG,Normalladeeinrichtung,2,22.0,Dorsten,46284,2018-01-30,2018,1,Nordrhein-Westfalen
Westenergie Metering GmbH,Normalladeeinrichtung,2,44.0,Dorsten,46284,2019-12-02,2019,12,Nordrhein-Westfalen
Westenergie Metering GmbH,Normalladeeinrichtung,2,44.0,Dorsten,46284,2019-12-02,2019,12,Nordrhein-Westfalen
Privatperson,Normalladeeinrichtung,1,11.0,Dorsten,46286,2022-01-31,2022,1,Nordrhein-Westfalen
Westenergie Metering GmbH,Normalladeeinrichtung,2,44.0,Dorsten,46286,2021-01-20,2021,1,Nordrhein-Westfalen
Westenergie Metering GmbH,Normalladeeinrichtung,2,44.0,Dorsten,46286,2019-12-02,2019,12,Nordrhein-Westfalen
TankE GmbH,Normalladeeinrichtung,2,44.0,Bergheim,50126,2019-09-25,2019,9,Nordrhein-Westfalen
Kaufland,Schnellladeeinrichtung,2,93.0,Bergheim,50126,2018-02-02,2018,2,Nordrhein-Westfalen
Westenergie Metering GmbH,Normalladeeinrichtung,2,44.0,Bergheim,50127,2020-04-06,2020,4,Nordrhein-Westfalen
Westenergie Metering GmbH,Normalladeeinrichtung,2,44.0,Bergheim,50129,2020-04-06,2020,4,Nordrhein-Westfalen
Westenergie Metering GmbH,Normalladeeinrichtung,2,44.0,Kerpen,50169,2020-05-13,2020,5,Nordrhein-Westfalen
Wilkens Anno 1835 e.K.,Normalladeeinrichtung,2,22.0,Kerpen,50170,2022-12-01,2022,12,Nordrhein-Westfalen
Wilkens Anno 1835 e.K.,Normalladeeinrichtung,1,11.0,Kerpen,50170,2022-12-01,2022,12,Nordrhein-Westfalen
Stadtwerke Kerpen GmbH & Co. KG,Normalladeeinrichtung,2,44.0,Kerpen,50170,2023-02-24,2023,2,Nordrhein-Westfalen
Kaufland,Schnellladeeinrichtung,2,72.0,Kerpen,50171,2023-02-14,2023,2,Nordrhein-Westfalen
Stadtwerke Kerpen GmbH & Co. KG,Normalladeeinrichtung,2,44.0,Kerpen,50171,2023-02-15,2023,2,Nordrhein-Westfalen
Stadtwerke Kerpen GmbH & Co. KG,Normalladeeinrichtung,2,44.0,Kerpen,50171,2023-02-15,2023,2,Nordrhein-Westfalen
amperio GmbH,Normalladeeinrichtung,2,44.0,Bedburg,50181,2023-01-04,2023,1,Nordrhein-Westfalen
Westenergie Metering GmbH,Normalladeeinrichtung,2,44.0,Bedburg,50181,2020-03-27,2020,3,Nordrhein-Westfalen
ALDI SÜD,Normalladeeinrichtung,2,44.0,Elsdorf,50189,2021-03-19,2021,3,Nordrhein-Westfalen
ALDI SÜD,Normalladeeinrichtung,2,44.0,Frechen,50226,2021-12-15,2021,12,Nordrhein-Westfalen
EnBW mobility+ AG und Co.KG,Schnellladeeinrichtung,2,300.0,Frechen,50226,2021-12-17,2021,12,Nordrhein-Westfalen
Lidl,Normalladeeinrichtung,2,44.0,Frechen,50226,2020-04-14,2020,4,Nordrhein-Westfalen
E.ON Drive GmbH,Schnellladeeinrichtung,2,160.0,Frechen,50226,2019-12-16,2019,12,Nordrhein-Westfalen
Mercedes- Benz AG - Niederlassung Köln / Leverkusen,Normalladeeinrichtung,2,22.0,Frechen,50226,2020-03-31,2020,3,Nordrhein-Westfalen
GVG Rhein-Erft GmbH,Normalladeeinrichtung,2,44.0,Frechen,50226,2022-01-08,2022,1,Nordrhein-Westfalen
Westenergie Metering GmbH,Normalladeeinrichtung,2,44.0,Frechen,50226,2020-04-17,2020,4,Nordrhein-Westfalen
Westenergie Metering GmbH,Normalladeeinrichtung,2,44.0,Frechen,50226,2020-04-23,2020,4,Nordrhein-Westfalen
Westenergie Metering GmbH,Normalladeeinrichtung,2,44.0,Frechen,50226,2020-04-17,2020,4,Nordrhein-Westfalen
Westenergie Metering GmbH,Normalladeeinrichtung,1,44.0,Frechen,50226,2019-09-30,2019,9,Nordrhein-Westfalen
TankE GmbH,Normalladeeinrichtung,2,44.0,Pulheim,50259,2021-02-15,2021,2,Nordrhein-Westfalen
Lidl,Schnellladeeinrichtung,3,72.0,Brühl,50321,2022-07-19,2022,7,Nordrhein-Westfalen
Privatperson,Normalladeeinrichtung,1,11.0,Hürth,50354,2022-06-15,2022,6,Nordrhein-Westfalen
ALDI SÜD,Normalladeeinrichtung,2,44.0,Hürth-Efferen,50354,2020-11-12,2020,11,Nordrhein-Westfalen
E.ON Drive GmbH,Schnellladeeinrichtung,2,160.0,Hürth,50354,2019-06-28,2019,6,Nordrhein-Westfalen
E.ON Drive GmbH,Schnellladeeinrichtung,2,150.0,Hürth,50354,2020-10-28,2020,10,Nordrhein-Westfalen
GVG Rhein-Erft GmbH,Normalladeeinrichtung,2,44.0,Hürth,50354,2021-01-01,2021,1,Nordrhein-Westfalen
Tesla Germany GmbH,Schnellladeeinrichtung,1,150.0,Erftstadt,50374,2022-06-16,2022,6,Nordrhein-Westfalen
Tesla Germany GmbH,Schnellladeeinrichtung,1,250.0,Erftstadt,50374,2022-06-16,2022,6,Nordrhein-Westfalen
ALDI SÜD,Normalladeeinrichtung,2,44.0,Erftstadt,50374,2021-12-14,2021,12,Nordrhein-Westfalen
Kaufland,Schnellladeeinrichtung,3,98.0,Erftstadt,50374,2022-09-22,2022,9,Nordrhein-Westfalen
EnBW mobility+ AG und Co.KG,Schnellladeeinrichtung,2,300.0,Wesseling,50389,2021-04-26,2021,4,Nordrhein-Westfalen
Westenergie Metering GmbH,Normalladeeinrichtung,2,44.0,Wesseling,50389,2020-04-14,2020,4,Nordrhein-Westfalen
Westenergie Metering GmbH,Normalladeeinrichtung,2,44.0,Wesseling,50389,2020-04-21,2020,4,Nordrhein-Westfalen
Westenergie Metering GmbH,Normalladeeinrichtung,2,44.0,Wesseling,50389,2020-04-09,2020,4,Nordrhein-Westfalen
BELKAW GmbH,Normalladeeinrichtung,2,44.0,Leichlingen,42799,2022-02-14,2022,2,Nordrhein-Westfalen
BELKAW GmbH,Normalladeeinrichtung,2,44.0,Leichlingen,42799,2022-02-14,2022,2,Nordrhein-Westfalen
BEW Bergische Energie und Wasser GmbH,Normalladeeinrichtung,2,44.0,Wermelskirchen,42929,2021-12-23,2021,12,Nordrhein-Westfalen
ALDI SÜD,Normalladeeinrichtung,2,44.0,Burscheid,51399,2022-06-28,2022,6,Nordrhein-Westfalen
BELKAW GmbH,Normalladeeinrichtung,2,44.0,Burscheid,51399,2022-02-17,2022,2,Nordrhein-Westfalen
BELKAW GmbH,Normalladeeinrichtung,2,44.0,Bergisch Gladbach,51427,2021-02-16,2021,2,Nordrhein-Westfalen
BELKAW GmbH,Normalladeeinrichtung,2,44.0,Bergisch Gladbach,51427,2022-03-01,2022,3,Nordrhein-Westfalen
BELKAW GmbH,Normalladeeinrichtung,2,44.0,Bergisch Gladbach,51427,2022-03-01,2022,3,Nordrhein-Westfalen
Privatperson,Normalladeeinrichtung,1,11.0,Bergisch Gladbach,51429,2022-01-01,2022,1,Nordrhein-Westfalen
ALDI SÜD,Schnellladeeinrichtung,3,100.0,Bergisch Gladbach,51429,2021-08-30,2021,8,Nordrhein-Westfalen
BELKAW GmbH,Normalladeeinrichtung,2,44.0,Bergisch Gladbach,51429,2019-04-17,2019,4,Nordrhein-Westfalen
BELKAW GmbH,Normalladeeinrichtung,1,22.0,Bergisch Gladbach,51429,2022-07-22,2022,7,Nordrhein-Westfalen
BELKAW GmbH,Normalladeeinrichtung,2,44.0,Bergisch Gladbach,51429,2022-04-11,2022,4,Nordrhein-Westfalen
BELKAW GmbH,Normalladeeinrichtung,2,44.0,Bergisch Gladbach,51465,2022-02-28,2022,2,Nordrhein-Westfalen
BELKAW GmbH,Normalladeeinrichtung,2,44.0,Bergisch Gladbach,51465,2022-01-30,2022,1,Nordrhein-Westfalen
BELKAW GmbH,Normalladeeinrichtung,2,44.0,Bergisch Gladbach,51465,2022-01-30,2022,1,Nordrhein-Westfalen
On Charge,Normalladeeinrichtung,2,30.0,Bergisch Gladbach,51469,2022-11-26,2022,11,Nordrhein-Westfalen
EnBW mobility+ AG und Co.KG,Schnellladeeinrichtung,2,300.0,Overath,51491,2019-09-24,2019,9,Nordrhein-Westfalen
Stadtwerke Overath Energie GmbH,Normalladeeinrichtung,1,22.0,Overath,51491,2021-03-05,2021,3,Nordrhein-Westfalen
Stadtwerke Overath Energie GmbH,Normalladeeinrichtung,2,44.0,Overath,51491,2021-03-05,2021,3,Nordrhein-Westfalen
Konradi,Normalladeeinrichtung,2,22.0,Rösrath,51503,2022-09-20,2022,9,Nordrhein-Westfalen
StadtWerke Rösrath  - Energie GmbH,Normalladeeinrichtung,2,22.0,Rösrath,51503,2022-06-17,2022,6,Nordrhein-Westfalen
StadtWerke Rösrath  - Energie GmbH,Normalladeeinrichtung,2,22.0,Rösrath,51503,2022-06-17,2022,6,Nordrhein-Westfalen
StadtWerke Rösrath  - Energie GmbH,Normalladeeinrichtung,2,22.0,Rösrath,51503,2022-06-17,2022,6,Nordrhein-Westfalen
E.ON Drive GmbH,Schnellladeeinrichtung,1,300.0,Rösrath,51503,2020-10-27,2020,10,Nordrhein-Westfalen
E.ON Drive GmbH,Schnellladeeinrichtung,1,300.0,Rösrath,51503,2020-10-27,2020,10,Nordrhein-Westfalen
BELKAW GmbH,Normalladeeinrichtung,1,22.0,Kürten,51515,2022-07-22,2022,7,Nordrhein-Westfalen
inno2grid GmbH,Normalladeeinrichtung,2,22.0,Düsseldorf,40549,2021-12-01,2021,12,Nordrhein-Westfalen
inno2grid GmbH,Normalladeeinrichtung,2,22.0,Düsseldorf,40549,2021-12-01,2021,12,Nordrhein-Westfalen
voestalpine Edelstahl Deutschland GmbH,Normalladeeinrichtung,1,22.0,Düsseldorf,40549,2020-11-01,2020,11,Nordrhein-Westfalen
voestalpine Edelstahl Deutschland GmbH,Normalladeeinrichtung,2,22.0,Düsseldorf,40549,2020-09-15,2020,9,Nordrhein-Westfalen
voestalpine Edelstahl Deutschland GmbH,Normalladeeinrichtung,2,22.0,Düsseldorf,40549,2021-11-01,2021,11,Nordrhein-Westfalen
EnBW mobility+ AG und Co.KG,Schnellladeeinrichtung,2,300.0,Meerbusch,40667,2022-08-18,2022,8,Nordrhein-Westfalen
Stadtwerke Meerbusch GmbH,Normalladeeinrichtung,2,44.0,Meerbusch,40667,2019-04-25,2019,4,Nordrhein-Westfalen
Stadtwerke Meerbusch GmbH,Normalladeeinrichtung,2,44.0,Meerbusch,40667,2019-04-16,2019,4,Nordrhein-Westfalen
Ladepark am Wasserturm B. Scheffer,Normalladeeinrichtung,2,22.0,Meerbusch,40668,2022-07-01,2022,7,Nordrhein-Westfalen
Stadtwerke Meerbusch GmbH,Normalladeeinrichtung,2,44.0,Meerbusch Lank,40668,2018-07-11,2018,7,Nordrhein-Westfalen
EnBW mobility+ AG und Co.KG,Schnellladeeinrichtung,2,300.0,Meerbusch,40670,2021-04-07,2021,4,Nordrhein-Westfalen
EnBW mobility+ AG und Co.KG,Schnellladeeinrichtung,2,300.0,Meerbusch,40670,2021-04-07,2021,4,Nordrhein-Westfalen
Stadtwerke Meerbusch GmbH,Normalladeeinrichtung,2,44.0,Meerbusch,40670,2018-07-11,2018,7,Nordrhein-Westfalen
Stadtwerke Meerbusch GmbH,Normalladeeinrichtung,2,44.0,Meerbusch,40670,2019-04-25,2019,4,Nordrhein-Westfalen
Stadtwerke Meerbusch GmbH,Normalladeeinrichtung,2,44.0,Meerbusch,40670,2021-08-19,2021,8,Nordrhein-Westfalen
Heinz Nauen GmbH & Co.KG,Normalladeeinrichtung,2,39.6,Meerbusch,40670,2021-01-19,2021,1,Nordrhein-Westfalen
Heinz Nauen GmbH & Co.KG,Normalladeeinrichtung,2,39.6,Meerbusch,40670,2021-06-22,2021,6,Nordrhein-Westfalen
NEW Niederrhein Energie und Wasser GmbH,Normalladeeinrichtung,2,44.0,Korschenbroich,41352,2018-12-04,2018,12,Nordrhein-Westfalen
NEW Niederrhein Energie und Wasser GmbH,Normalladeeinrichtung,2,44.0,Jüchen,41363,2019-05-27,2019,5,Nordrhein-Westfalen
EWE Go GmbH,Schnellladeeinrichtung,2,160.0,Jüchen,41363,2022-02-25,2022,2,Nordrhein-Westfalen
Stadtwerke Neuss Energie und Wasser GmbH,Normalladeeinrichtung,2,44.0,Neuss,41460,2018-04-16,2018,4,Nordrhein-Westfalen
Stadtwerke Neuss Energie und Wasser GmbH,Normalladeeinrichtung,2,44.0,Neuss,41460,2018-04-16,2018,4,Nordrhein-Westfalen
WISAG Elektrotechnik Nord West GmbH & Co. KG,Normalladeeinrichtung,2,22.0,Neuss,41460,2020-11-11,2020,11,Nordrhein-Westfalen
Kaufland,Schnellladeeinrichtung,3,77.0,Neuss,41462,2022-02-07,2022,2,Nordrhein-Westfalen
SWD AG,Normalladeeinrichtung,2,44.0,Neuss,41464,2021-12-10,2021,12,Nordrhein-Westfalen
EnBW mobility+ AG und Co.KG,Schnellladeeinrichtung,2,300.0,Neuss,41464,2020-11-20,2020,11,Nordrhein-Westfalen
Stadtwerke Neuss Energie und Wasser GmbH,Normalladeeinrichtung,2,44.0,Neuss,41464,2018-11-14,2018,11,Nordrhein-Westfalen
Stadtwerke Neuss Energie und Wasser GmbH,Normalladeeinrichtung,2,44.0,Neuss,41464,2020-02-27,2020,2,Nordrhein-Westfalen
