operator,charging_facility_type,number_of_charging_points,power_connection_capacity,city,postal_code,commissioning_date,year,month,state
RhönEnergie Fulda GmbH,Normalladeeinrichtung,2,44.0,Fulda,36037,2018-09-20,2018,9,Hessen
RhönEnergie Fulda GmbH,Normalladeeinrichtung,2,44.0,Fulda,36037,2018-09-28,2018,9,Hessen
RhönEnergie Fulda GmbH,Normalladeeinrichtung,2,22.0,Fulda,36037,2022-03-03,2022,3,Hessen
RhönEnergie Fulda GmbH,Normalladeeinrichtung,2,22.0,Fulda,36039,2018-02-01,2018,2,Hessen
RhönEnergie Fulda GmbH,Normalladeeinrichtung,2,22.0,Fulda,36039,2021-03-08,2021,3,Hessen
Marotech GmbH,Normalladeeinrichtung,2,44.0,Fulda,36041,2018-02-26,2018,2,Hessen
RhönEnergie Fulda GmbH,Normalladeeinrichtung,4,44.0,Fulda,36043,2018-10-19,2018,10,Hessen
RhönEnergie Fulda GmbH,Normalladeeinrichtung,4,44.0,Fulda,36043,2018-10-31,2018,10,Hessen
RhönEnergie Fulda GmbH,Normalladeeinrichtung,2,22.0,Fulda,36043,2021-07-30,2021,7,Hessen
RhönEnergie Fulda GmbH,Normalladeeinrichtung,2,44.0,Hünfeld,36088,2021-07-30,2021,7,Hessen
Stadtwerke Hünfeld GmbH,Normalladeeinrichtung,2,44.0,Hünfeld,36088,2021-08-25,2021,8,Hessen
Westfalen AG,Normalladeeinrichtung,2,44.0,Künzell,36093,2020-03-26,2020,3,Hessen
ALDI SÜD,Schnellladeeinrichtung,1,50.0,Petersberg,36100,2018-11-22,2018,11,Hessen
RhönEnergie Fulda GmbH,Normalladeeinrichtung,2,22.0,Petersberg,36100,2022-11-10,2022,11,Hessen
Pfalzwerke AG,Schnellladeeinrichtung,2,150.0,Fulda,36100,2022-05-05,2022,5,Hessen
Pfalzwerke AG,Normalladeeinrichtung,2,22.0,Fulda,36100,2022-05-05,2022,5,Hessen
e-MOTION.world GmbH,Normalladeeinrichtung,1,22.0,Petersberg,36100,2022-03-01,2022,3,Hessen
Autohaus Erwin Weber GmbH & CoKG,Normalladeeinrichtung,2,39.6,Hilders,36115,2021-01-19,2021,1,Hessen
IONITY GmbH,Schnellladeeinrichtung,1,350.0,Eichenzell,36124,2018-11-30,2018,11,Hessen
Autohaus Romeis GmbH,Normalladeeinrichtung,2,39.6,Gersfeld (Rhön),36129,2021-02-21,2021,2,Hessen
RhönEnergie Fulda GmbH,Normalladeeinrichtung,2,22.0,Eiterfeld,36132,2018-10-25,2018,10,Hessen
RhönEnergie Fulda GmbH,Normalladeeinrichtung,2,22.0,Eiterfeld,36132,2022-01-21,2022,1,Hessen
RhönEnergie Fulda GmbH,Normalladeeinrichtung,2,33.0,Großenlüder,36137,2021-10-11,2021,10,Hessen
Lidl,Normalladeeinrichtung,2,44.0,Großenlüder,36137,2019-09-25,2019,9,Hessen
Landhotel Grashof,Normalladeeinrichtung,2,22.0,Kalbach,36148,2022-11-01,2022,11,Hessen
Mer Germany GmbH,Schnellladeeinrichtung,2,600.0,Uttrichshausen,36148,2021-10-25,2021,10,Hessen
RhönEnergie Fulda GmbH,Normalladeeinrichtung,2,33.0,Dipperz,36160,2022-11-21,2022,11,Hessen
RhönEnergie Fulda GmbH,Normalladeeinrichtung,2,22.0,Poppenhausen,36163,2020-04-20,2020,4,Hessen
ALDI SÜD,Normalladeeinrichtung,2,44.0,Laubach,35321,2021-10-18,2021,10,Hessen
ServiceSTADTwerke GmbH & Co. KG,Normalladeeinrichtung,4,88.0,Gießen,35390,2020-06-24,2020,6,Hessen
ServiceSTADTwerke GmbH & Co. KG,Normalladeeinrichtung,2,44.0,Gießen,35390,2019-12-01,2019,12,Hessen
ServiceSTADTwerke GmbH & Co. KG,Normalladeeinrichtung,4,88.0,Gießen,35392,2020-06-24,2020,6,Hessen
Domconus UG,Normalladeeinrichtung,1,11.0,Giessen,35394,2022-09-12,2022,9,Hessen
EnBW mobility+ AG und Co.KG,Schnellladeeinrichtung,2,300.0,Giessen,35394,2020-08-19,2020,8,Hessen
Volksbank Mittelhessen eG,Normalladeeinrichtung,4,44.0,Gießen,35394,2022-01-01,2022,1,Hessen
Oberhessische Versorgungsbetriebe AG,Normalladeeinrichtung,2,44.0,Gießen,35394,2022-11-17,2022,11,Hessen
Lidl,Schnellladeeinrichtung,3,50.0,Gießen,35396,2020-06-19,2020,6,Hessen
GP JOULE Connect GmbH,Normalladeeinrichtung,4,11.0,Gießen,35398,2021-10-21,2021,10,Hessen
ASW Wahl GmbH & Co. KG,Normalladeeinrichtung,2,44.0,Gießen,35398,2019-08-12,2019,8,Hessen
Oberhessische Versorgungsbetriebe AG,Normalladeeinrichtung,2,44.0,Hungen,35410,2018-10-01,2018,10,Hessen
Ladekonzepte,Normalladeeinrichtung,2,22.0,Buseck,35418,2021-01-15,2021,1,Hessen
Autohaus Schmidt OHG,Normalladeeinrichtung,2,39.6,Lich,35423,2021-03-11,2021,3,Hessen
Oberhessische Versorgungsbetriebe AG,Normalladeeinrichtung,2,44.0,Langgöns,35428,2018-10-01,2018,10,Hessen
ALDI SÜD,Normalladeeinrichtung,2,44.0,Linden,35440,2021-02-02,2021,2,Hessen
Oberhessische Versorgungsbetriebe AG,Normalladeeinrichtung,2,44.0,Reiskirchen,35447,2018-10-01,2018,10,Hessen
ALDI SÜD,Normalladeeinrichtung,2,44.0,Heuchelheim,35452,2022-12-06,2022,12,Hessen
Mainzer Stadtwerke AG,Normalladeeinrichtung,2,44.0,Groß-Gerau,64521,2018-02-21,2018,2,Hessen
BürgerEnergieRheinMain eG,Normalladeeinrichtung,2,22.0,Mörfelden-Walldorf,64546,2018-04-13,2018,4,Hessen
BürgerEnergieRheinMain eG,Normalladeeinrichtung,2,22.0,Mörfelden-Walldorf,64546,2018-04-13,2018,4,Hessen
BürgerEnergieRheinMain eG,Normalladeeinrichtung,2,22.0,Mörfelden-Walldorf,64546,2018-04-13,2018,4,Hessen
Gotta Automobile GmbH & Co. KG,Normalladeeinrichtung,2,39.6,Mörfelden-Walldorf,64546,2021-01-19,2021,1,Hessen
ps power,Normalladeeinrichtung,3,22.0,Riedstadt,64560,2022-01-01,2022,1,Hessen
EnBW mobility+ AG und Co.KG,Schnellladeeinrichtung,2,300.0,Büttelborn,64572,2019-11-07,2019,11,Hessen
EWR AG,Normalladeeinrichtung,2,44.0,Gernsheim,64579,2018-06-29,2018,6,Hessen
Entega Plus GmbH,Normalladeeinrichtung,2,22.0,Gernsheim,64579,2022-02-18,2022,2,Hessen
Mainzer Stadtwerke AG,Normalladeeinrichtung,2,44.0,Stockstadt,64589,2018-03-19,2018,3,Hessen
Euromaster,Normalladeeinrichtung,2,22.0,Rüsselsheim,65428,2022-02-01,2022,2,Hessen
Euromaster,Normalladeeinrichtung,4,22.0,Rüsselsheim,65428,2022-02-01,2022,2,Hessen
Autohaus Karl + Co. GmbH & Co. KG,Normalladeeinrichtung,2,44.0,Rüsselsheim,65428,2018-12-22,2018,12,Hessen
Aral Pulse,Schnellladeeinrichtung,2,300.0,Rüsselsheim,65428,2022-12-14,2022,12,Hessen
EWE Go GmbH,Schnellladeeinrichtung,2,160.0,Rüsselsheim,65428,2022-03-29,2022,3,Hessen
Energieservice Rhein-Main GmbH,Normalladeeinrichtung,2,22.0,Rüsselsheim am Main,65428,2021-11-01,2021,11,Hessen
Energieservice Rhein-Main GmbH,Normalladeeinrichtung,2,22.0,Rüsselsheim am Main,65428,2021-11-01,2021,11,Hessen
Energieservice Rhein-Main GmbH,Normalladeeinrichtung,2,44.0,Rüsselsheim am Main,65428,2021-11-01,2021,11,Hessen
Energieservice Rhein-Main GmbH,Normalladeeinrichtung,2,44.0,Rüsselsheim am Main,65428,2021-11-01,2021,11,Hessen
Energieservice Rhein-Main GmbH,Normalladeeinrichtung,2,22.0,Rüsselsheim am Main,65428,2021-11-01,2021,11,Hessen
